imdbId,tmdbId,title,originalTitle,releaseDate,runtime,genres,productionCountries,originalLanguage,spokenLanguages,budget,revenue,imdbRating,imdbVotes,tmdbRating,tmdbVotes,tmdbPopularity,collection,overview,tagline,cluster_no,embedding_x,embedding_y
tt0086250,111,Scarface,Scarface,1983-12-09,170,"Action,Crime,Drama,Thriller",US,en,"en,es",25000000,66023329,8.3,745905,8.1,8187,41.728,,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",The world is yours...,8,-7.3483953696005235,13.555359207411444
tt0120737,120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,179,"Adventure,Fantasy,Action","NZ,US",en,en,93000000,871368364,8.8,1670754,8.4,19031,71.528,The Lord of the Rings Collection,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all,6,14.490375072869806,-3.6105400926858766
tt0167261,121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002-12-18,179,"Adventure,Fantasy,Action","NZ,US",en,en,79000000,926287400,8.7,1493382,8.3,16434,66.168,The Lord of the Rings Collection,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",A New Power Is Rising.,6,14.477780004683703,-3.681689096148444
tt0167260,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003-12-01,201,"Adventure,Fantasy,Action","NZ,US",en,en,94000000,1118888979,8.9,1651378,8.5,17558,67.189,The Lord of the Rings Collection,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",The eye of the enemy is moving.,6,14.4673185134609,-3.572740257634778
tt0190332,146,"Crouching Tiger, Hidden Dragon",卧虎藏龍,2000-07-06,120,"Adventure,Drama,Action,Romance","CN,HK,TW,US",zh,zh,17000000,213525736,7.8,254157,7.4,2217,16.196,"Crouching Tiger, Hidden Dragon Collection","Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.","A timeless story of strength, secrets and two warriors who would never surrender.",3,9.725810710132452,3.21805570831543
tt0094625,149,Akira,アキラ,1988-07-16,124,"Animation,Science Fiction,Action",JP,ja,ja,10000000,0,8.0,165971,7.9,2624,35.784,,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,Neo-Tokyo is about to E.X.P.L.O.D.E.,8,-0.012216598332833827,-0.8967282743745868
tt0083511,150,48 Hrs.,48 Hrs.,1982-12-07,96,"Thriller,Action,Comedy,Crime,Drama",US,en,en,12000000,78868508,6.9,70064,6.7,979,15.701,48 Hrs. Collection,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",One Cop. One Con. No Mercy.,8,-3.051865164640281,10.285589588790165
tt0084726,154,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,1982-06-04,113,"Action,Adventure,Science Fiction,Thriller",US,en,en,12000000,96800000,7.7,113110,7.4,1328,10.241,Star Trek: The Original Series Collection,"It is the 23rd century. The Federation Starship U.S.S. Enterprise™ is on routine training maneuvers and Admiral James T. Kirk (William Shatner) seems resigned to the fact that this inspection may well be the last space mission of his career. But Khan is back. Aided by his exiled band of genetic supermen, Khan (Ricardo Montalban) - brilliant renegade of 20th century Earth - has raided Space Station Regula One, stolen a top secret device called Project Genesis, wrested control of another Federation Starship and sets out in pursuit of the Enterprise, determined to let nothing stand in the way of his mission: kill Admiral Kirk... even if it means universal Armageddon.",At the end of the universe lies the beginning of vengeance.,0,6.21125372028062,-11.744918588726803
tt0468569,155,The Dark Knight,The Dark Knight,2008-07-16,152,"Drama,Action,Crime,Thriller","GB,US",en,"en,zh",185000000,1004558444,9.0,2316489,8.5,25000,55.178,The Dark Knight Collection,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Why So Serious?,2,7.1594547141439575,-0.012538916003396542
tt0088170,157,Star Trek III: The Search for Spock,Star Trek III: The Search for Spock,1984-06-01,105,"Science Fiction,Action,Adventure,Thriller",US,en,"en,ru",18000000,87000000,6.7,75133,6.6,907,9.785,Star Trek: The Original Series Collection,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,A dying planet. A fight for life.,0,6.078006369551804,-11.688416592054619
tt0100403,169,Predator 2,Predator 2,1990-11-20,108,"Science Fiction,Action,Thriller",US,en,en,35000000,57120318,6.3,147429,6.2,2013,27.164,Predator Collection,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth—and this time, it’s drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",Silent. Invisible. Invincible. He’s in town with a few days to kill.,0,5.087326951333174,-8.114194382473704
tt0098382,172,Star Trek V: The Final Frontier,Star Trek V: The Final Frontier,1989-06-09,107,"Science Fiction,Action,Adventure,Thriller",US,en,en,30000000,70200000,5.5,56276,5.7,799,15.614,Star Trek: The Original Series Collection,"The crew of the Federation starship Enterprise is called to Nimbus III, the Planet of Intergalactic Peace. They are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of Spock. This man is possessed by his life long search for the planet Shaka-Ri which is supposed to be the source of all life. Together they begin to search for this mysterious planet.",Adventure and imagination will meet at the final frontier.,0,6.065487838739263,-11.912141640406606
tt0102975,174,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,1991-12-06,113,"Science Fiction,Action,Adventure,Thriller",US,en,en,27000000,96900000,7.2,70776,7.0,860,10.489,Star Trek: The Original Series Collection,"After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their dealiest encounter.",The battle for peace has begun.,0,5.648194615017663,-11.637178666000517
tt0109303,178,Blown Away,Blown Away,1994-07-01,121,"Thriller,Action,Crime,Drama",US,en,en,28000000,30156002,6.3,28476,6.1,342,14.181,,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,5. 4. 3. 2. 1......Time's Up.,3,-10.407560139634585,12.052582068713908
tt0181689,180,Minority Report,Minority Report,2002-06-20,145,"Action,Thriller,Science Fiction,Mystery",US,en,"en,sv",102000000,358372926,7.6,510348,7.3,6337,18.355,,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",The system is perfect until it comes after you.,8,-1.4479600460835647,8.96259744721588
tt0401792,187,Sin City,Sin City,2005-04-01,124,"Thriller,Action,Crime",US,en,en,40000000,158733820,8.0,739574,7.4,6137,20.638,Sin City Collection,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",Walk down the right back alley in Sin City and you can find anything...,3,-3.874020345295549,18.233636517180464
tt0458481,189,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014-08-20,102,"Crime,Action,Thriller",US,en,en,65000000,39407616,6.5,153148,6.3,2917,49.438,Sin City Collection,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,There is no justice without sin.,3,-3.8739606634794215,18.195621850325292
tt0111280,193,Star Trek: Generations,Star Trek: Generations,1994-11-18,118,"Science Fiction,Action,Adventure,Thriller",US,en,en,38000000,120000000,6.6,76782,6.5,909,11.546,Star Trek: The Next Generation Collection,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,Boldly go.,0,6.3286969415931695,-11.730438452806567
tt0112573,197,Braveheart,Braveheart,1995-05-24,178,"Action,Drama,History,War",US,en,"en,fr,la,gd",72000000,210000000,8.3,963336,7.9,7480,27.777,,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Every man dies. Not every man truly lives.,6,16.772427133069115,0.9848705281291867
tt0117731,199,Star Trek: First Contact,Star Trek: First Contact,1996-11-22,111,"Science Fiction,Action,Adventure,Thriller",US,en,en,46000000,150000000,7.6,118411,7.2,1237,16.272,Star Trek: The Next Generation Collection,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",Resistance is futile.,0,5.978199269631511,-10.96849709278912
tt0120844,200,Star Trek: Insurrection,Star Trek: Insurrection,1998-12-11,103,"Science Fiction,Action,Adventure,Thriller",US,en,en,70000000,118000000,6.4,70964,6.4,800,14.643,Star Trek: The Next Generation Collection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",The battle for paradise has begun.,0,5.927341639218197,-11.123051744818815
tt0253754,201,Star Trek: Nemesis,Star Trek: Nemesis,2002-12-13,117,"Science Fiction,Action,Adventure,Thriller",US,en,en,60000000,67312826,6.4,74314,6.2,978,17.054,Star Trek: The Next Generation Collection,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.",A generation's final journey... begins.,0,6.305194044590687,-12.183604414146387
tt0367882,217,Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,122,"Adventure,Action",US,en,"en,de,ru",185000000,786636033,6.1,426849,5.9,6033,27.316,Indiana Jones Collection,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",The adventure continues . . .,2,-2.367473971648919,-5.754694083350985
tt0088247,218,The Terminator,The Terminator,1984-10-26,108,"Action,Thriller,Science Fiction","GB,US",en,en,6400000,78371200,8.0,801921,7.6,9360,43.208,The Terminator Collection,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",Your future is in his hands.,2,3.531633551795773,-5.202358746743405
tt0086216,232,Rumble Fish,Rumble Fish,1983-10-20,94,"Action,Crime,Drama",US,en,en,10000000,2494480,7.2,31930,7.1,413,8.997,,"Rusty James, an absent-minded street thug, struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",Rusty James can't live up to his brother's reputation. His brother can't live it down.,3,1.1863658942095694,16.451833345826433
tt0363226,246,Zatoichi,座頭市,2003-09-06,111,"Adventure,Drama,Action",JP,ja,ja,2500000,0,7.5,47326,7.3,556,10.104,,"Zatoichi is a 19th century blind nomad who makes his living as a gambler and masseur. However, behind this humble facade, he is a master swordsman gifted with a lightning-fast draw and breathtaking precision. While wandering, Zatoichi discovers a remote mountain village at the mercy of Ginzo, a ruthless gang-leader. Ginzo disposes of anyone who gets in his way, especially after hiring the mighty samurai ronin, Hattori, as a bodyguard. After a raucous night of gambling in town, Zatoichi encounters a pair of geishas--as dangerous as they are beautiful--who've come to avenge their parents' murder. As the paths of these and other colorful characters intertwine, Ginzo's henchmen are soon after Zatoichi. With his legendary cane sword at his side, the stage is set for a riveting showdown.",His sword made him a hero... his courage made him a legend.,9,12.172753014703458,3.5644943725768816
tt0070328,253,Live and Let Die,Live and Let Die,1973-07-05,121,"Adventure,Action,Thriller",GB,en,"en,hu",7000000,161777836,6.8,97887,6.5,1326,19.884,James Bond Collection,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,Roger Moore as James Bond.,1,-6.052359846228455,4.679069036521229
tt0360717,254,King Kong,King Kong,2005-12-12,187,"Adventure,Drama,Action","NZ,US,DE",en,en,207000000,562363449,7.2,393223,6.8,5973,44.593,,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",The eighth wonder of the world.,0,0.9747304411931289,-13.748652396750426
tt0096895,268,Batman,Batman,1989-06-23,126,"Fantasy,Action","GB,US",en,"en,fr",35000000,411348924,7.5,339774,7.2,5470,33.62,Batman Collection,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",Have you ever danced with the devil in the pale moonlight?,2,7.240615399574431,-0.13529017599356233
tt0372784,272,Batman Begins,Batman Begins,2005-06-10,140,"Action,Crime,Drama","GB,US",en,"en,ur,zh",150000000,374218673,8.2,1314642,7.7,16044,41.817,The Dark Knight Collection,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Evil fears the knight.,2,6.840877885776968,-0.18093828639797457
tt0320691,277,Underworld,Underworld,2003-09-19,122,"Fantasy,Action,Thriller","DE,HU,GB,US",en,en,22000000,95708457,7.0,253654,6.8,4816,29.127,Underworld Collection,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.",An immortal battle for supremacy.,4,13.88174953764469,-8.99304293617825
tt0103064,280,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991-07-03,137,"Action,Thriller,Science Fiction","FR,US",en,"en,es",102000000,520000000,8.5,999878,8.0,9269,47.937,The Terminator Collection,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",It's nothing personal.,2,3.5335404686326157,-5.118345782628098
tt0449088,285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007-05-19,169,"Adventure,Fantasy,Action",US,en,en,300000000,961000000,7.1,597859,7.2,10887,56.946,Pirates of the Caribbean Collection,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",3,3.4730717559466857,-7.42393721685656
tt0181852,296,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,2003-07-02,109,"Action,Thriller,Science Fiction","DE,GB,US",en,en,200000000,435000000,6.3,378438,6.1,4866,29.731,The Terminator Collection,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",The Machines Will Rise.,2,3.5613824344625185,-5.161493459156371
tt0109254,306,Beverly Hills Cop III,Beverly Hills Cop III,1994-05-24,105,"Action,Comedy,Crime",US,en,en,50000000,119208989,5.6,76424,5.9,1209,14.935,Beverly Hills Cop Collection,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.",In for the ride of his life!,8,-5.20004732489679,11.948876032975104
tt0327554,314,Catwoman,Catwoman,2004-07-22,104,"Action,Fantasy,Mystery",US,en,"es,en",100000000,82102379,3.4,111404,4.6,2491,21.137,,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",,3,1.4722607637974348,11.250778076827693
tt0108399,319,True Romance,True Romance,1993-09-09,120,"Action,Thriller,Crime,Romance",US,en,"en,it",12500000,12281551,7.9,207927,7.6,1829,15.228,,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.","Stealing, Cheating, Killing. Who said romance was dead?",5,-12.640037057503466,9.771881574525036
tt0417148,326,Snakes on a Plane,Snakes on a Plane,2006-08-06,105,"Action,Crime,Thriller",US,en,en,33000000,62022014,5.4,132748,5.3,1214,17.725,,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.",Sit back. Relax. Enjoy the fright.,1,-5.444130399677646,5.011133085194845
